35,1525930597.13887, /muse/eeg,828.8278198239999,870.73260498,855.824157715,825.2014770510001
36,1525930597.13896, /muse/eeg,835.67767334,873.15020752,857.838806152,824.3956298830001
37,1525930597.139025, /muse/eeg,848.974365234,868.717956543,857.435913086,865.494506836
38,1525930597.13909, /muse/eeg,861.465209961,867.912109375,861.465209961,897.32598877
39,1525930597.139134, /muse/eeg,863.0769042969999,870.73260498,862.2710571289999,876.776550293
40,1525930597.1391768, /muse/eeg,867.509155273,867.912109375,862.67401123,857.435913086
41,1525930597.1392212, /muse/eeg,881.611694336,870.3296508789999,864.688659668,883.626403809
42,1525930597.1392698, /muse/eeg,888.05859375,872.344299316,866.3003540039999,919.084228516
43,1525930597.1393151, /muse/eeg,886.84979248,877.179504395,861.868103027,905.7875366210001
44,1525930597.139372, /muse/eeg,890.879150391,875.567749023,859.0476074219999,875.970703125
45,1525930597.139414, /muse/eeg,898.937744141,869.523803711,861.465209961,895.311340332
46,1525930597.139457, /muse/eeg,895.311340332,874.3589477539999,859.450561523,929.560424805
47,1525930597.181794, /muse/eeg,893.296691895,883.626403809,857.435913086,929.9633789060001
48,1525930597.181821, /muse/eeg,888.461547852,877.582397461,859.0476074219999,894.102539062
49,1525930597.1818368, /muse/eeg,888.05859375,874.3589477539999,862.2710571289999,886.84979248
50,1525930597.1818528, /muse/eeg,895.714294434,873.956054688,863.479858398,922.307678223
51,1525930597.181869, /muse/eeg,893.6996459960001,871.538452148,862.2710571289999,936.813171387
52,1525930597.181884, /muse/eeg,890.073242188,875.164855957,861.868103027,905.7875366210001
53,1525930597.1819, /muse/eeg,885.6410522460001,874.3589477539999,861.868103027,884.029296875
54,1525930597.181915, /muse/eeg,890.476196289,871.135559082,860.256408691,906.996337891
55,1525930597.181931, /muse/eeg,892.8937988280001,874.761901855,857.838806152,933.9926757810001
56,1525930597.181947, /muse/eeg,890.476196289,875.164855957,857.032958984,906.190490723
57,1525930597.181969, /muse/eeg,886.84979248,877.985351562,856.227111816,878.388305664
58,1525930597.181984, /muse/eeg,881.611694336,877.985351562,855.0183105469999,896.1171875
59,1525930597.2426288, /muse/eeg,881.611694336,875.567749023,853.809509277,913.443237305
60,1525930597.2426481, /muse/eeg,880.402954102,873.15020752,858.2417602539999,901.355285645
61,1525930597.243353, /muse/eeg,875.164855957,871.538452148,861.868103027,870.3296508789999
62,1525930597.243367, /muse/eeg,871.94140625,875.970703125,858.644714355,872.344299316
63,1525930597.243377, /muse/eeg,875.567749023,877.582397461,858.2417602539999,901.355285645
64,1525930597.243387, /muse/eeg,878.388305664,873.15020752,860.256408691,903.369934082
65,1525930597.243396, /muse/eeg,866.703308105,871.135559082,859.85345459,871.135559082
66,1525930597.243406, /muse/eeg,861.062255859,873.15020752,857.032958984,863.0769042969999
67,1525930597.243416, /muse/eeg,869.926757812,876.373596191,856.630065918,895.714294434
68,1525930597.243426, /muse/eeg,869.926757812,874.3589477539999,855.824157715,906.996337891
69,1525930597.2434359, /muse/eeg,861.465209961,870.73260498,856.630065918,872.344299316
70,1525930597.243446, /muse/eeg,859.85345459,876.373596191,858.2417602539999,850.9890136719999
71,1525930597.2840009, /muse/eeg,865.091552734,879.597045898,856.630065918,879.194152832
72,1525930597.284023, /muse/eeg,873.553100586,875.970703125,859.450561523,911.831481934
73,1525930597.2840369, /muse/eeg,874.761901855,874.761901855,858.2417602539999,889.6703491210001
74,1525930597.284052, /muse/eeg,872.344299316,875.970703125,853.003662109,857.435913086
75,1525930597.284066, /muse/eeg,873.15020752,874.3589477539999,852.197814941,874.3589477539999
76,1525930597.2840788, /muse/eeg,872.747253418,871.538452148,854.2124633789999,901.7582397460001
77,1525930597.284092, /muse/eeg,869.926757812,872.747253418,854.2124633789999,891.282043457
78,1525930597.284105, /muse/eeg,859.85345459,875.567749023,851.391967773,867.509155273
79,1525930597.284118, /muse/eeg,859.85345459,875.567749023,853.003662109,869.926757812
80,1525930597.284133, /muse/eeg,871.94140625,878.388305664,852.6007080080001,897.7289428710001
81,1525930597.284149, /muse/eeg,877.179504395,879.597045898,853.003662109,904.175842285
82,1525930597.2841618, /muse/eeg,863.0769042969999,877.582397461,855.824157715,867.509155273
83,1525930597.3452199, /muse/eeg,860.256408691,875.164855957,854.2124633789999,857.435913086
